Origem do Pedido,Marca,UNIDADE,Data de solicitação,Data da compra,CNPJ,ITEM,Nº do Pedido,Comprador,Nº cotações,Fornecedor,Previsão de Entrega,Pedido Recebido na Unidade,Status da Entrega,Valor,Natureza do Item,Natureza Orçamentária,Centro de Custo,Condição de Pgto.,Observação,NF,Forma de Pagto,Fluig,Data de Pagamento,Competencia certa?,Pagamento realizado com multa?,Valor da multa,Data da Aprovação,Responsável Pgto,Ocorrência,Mês da Ocorrência,Nova data de entrega,Situação,Mês,Mês2,Ano,SLA Pedidos Emergenciais,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,MESA TOTÓ,12349,Julliene Serapião,Contrato,OPS Sports,20/01/2024,Sim,Entregue,3.050,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00530,Depósito,967325,,,,,,Patrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,MATERIAL ESPORTIVO,12350,Julliene Serapião,3,Nova Era Esportes ,15/01/2024,Sim,Entregue,4.509,Ativos,Mat. Esportivo,Escola - Unidade,28 DIAS,,35170,Depósito,965801,,,,,,Pattrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,28/11/2023,29/11/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),CARTEIRAS,12354,Julliene Serapião,Contrato,Minas Brasil,06/01/2024,Sim,Entregue,13.265,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,,,,,,,,,,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,30/11/2023,09.414.059/0001-09,MICROONDAS,12355,Julliene Serapião,3,SOLUTION(comercial Ynoffice),15/01/2024,Sim,Entregue,797,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,8700965,Boleto,956243,,,,,,Patrícia,,,,,11,novembro,2023,2,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Nosso CEI,Nosso CEI Roberto Freire,28/11/2023,30/11/2023,12.753.752/0004-55,Carteiras Escolares Metadil,12364,Fábio do Vale,1 (Exceção Compliance),Metadil ,25/01/2024,Sim,Entregue,104.425,Ativos,Carteiras Escolares,Escola - Unidade,28 DIAS,,53814,Depósito,967175,,,,,,Patrícia,,,,,11,novembro,2023,2,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Nosso CEI,Nosso CEI Romualdo,28/11/2023,30/11/2023,12.753.752/0001-02,Carteiras Escolares Metadil,12365,Fábio do Vale,1 (Exceção Compliance),Metadil ,25/01/2024,Sim,Entregue,42.111,Ativos,Carteiras Escolares,Escola - Unidade,28 DIAS,,53813,Depósito,967149,,,,,,Patrícia,,,,,11,novembro,2023,2,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,30/11/2023,30/11/2023,09.414.059/0001-09,PRATELEIRA DE LIVROS,12370,Julliene Serapião,Contrato,Petrovetti,06/01/2024,Sim,Entregue,320,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,15035,Boleto,915890,,,,,,Patrícia,,,,,11,novembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,30/11/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),CLAVICULÁRIO PARA 50 CHAVES CITYQUADROS,12371,Julliene Serapião,Contrato,City Quadros(alumplex),06/01/2024,Sim,Entregue,380,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,,,,,,,,,,,,,,11,novembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,30/11/2023,30/11/2023,,QUADRO BRANCO QUADRICULADO 600X 120,12372,Julliene Serapião,Contrato,City Quadros(alumplex),06/01/2024,Sim,Entregue,5.220,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,02716,Boleto,917067,,,,,,Paula,,,,,11,novembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,30/11/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),LIXEIRAS ITATIBA,12373,Julliene Serapião,3,RECICLAR,15/01/2024,Sim,Entregue,3.696,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,04144,Boleto,918717,,,,,,Patrícia,,,,,11,novembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),CASINHA DO TARZAN,12374,Julliene Serapião,3,CriartPlay,22/01/2024,Sim,Entregue,7.700,Ativos,Obra de Ampliação,Escola - Unidade,30 DIAS,,01067,Boleto,970389,,,,,,Paula,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),MATERIAL ESPORTIVO,12375,Julliene Serapião,3,JWE,15/01/2024,Sim,Entregue,2.080,Ativos,Mat. Esportivo,Escola - Unidade,28 DIAS,,08220,Boleto,959088,,,,,,Paula,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),MATERIAL ESPORTIVO,12375,Julliene Serapião,3,JWE,15/01/2024,Sim,Entregue,581,Ativos,Mat. Esportivo,Escola - Unidade,28 DIAS,,08928,Boleto,957142,,,,,,Paula,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Pensi,Pensi Icaraí 2,10/01/2024,,05.924.764/0003­-59,MATERIAL ESPORTIVO,12375,,,JWE,,,,4.116,,Mat. Esportivo,,,,08187,Boleto,958956,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),BEBEDOURO,12376,Julliene Serapião,3,Acqua Gelata,25/01/2024,Sim,Entregue,2.640,Ativos,Obra de Ampliação,Escola - Unidade,30 DIAS,,45698,Boleto,929211,,,,,,Patrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,01/12/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),MESA E CADEIRAS DE REFEITORIO ADULTO/ CADEIRA DE ESCRITÓRIO BÁSICA AZUL,12375,Julliene Serapião,Contrato,Petrovetti,15/01/2024,Sim,Entregue,3.484,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,15032,Boleto,915842,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,01/12/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),ESTANTE DE MADEIRA,12377,Julliene Serapião,Contrato,Petrovetti,15/01/2024,Sim,Entregue,1.230,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,15033,Boleto,915886,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,01/12/2023,01/12/2023,,MATERIAL ESPORTIVO,12379,Julliene Serapião,3,JWE,15/01/2024,Sim,Entregue,2.252,Ativos,Mat. Esportivo,Escola - Unidade,28 DIAS,,08752,Boleto,917084,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,01/12/2023,01/12/2023,,MESA TOTO,12380,Julliene Serapião,Contrato,OPS Sports,20/01/2024,Sim,Entregue,3.050,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00503,Depósito,920291,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,01/12/2023,01/12/2023,,MESA TOTO,12380,Julliene Serapião,Contrato,OPS Sports,20/01/2024,Sim,Entregue,3.050,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00531,Depósito,967327,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,01/12/2023,01/12/2023,,ARMARIOS E PUFF,12381,Julliene Serapião,Contrato,Petrovetti,20/01/2024,Sim,Entregue,5.705,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,15108,Boleto,917826,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Itatiba,30/11/2023,01/12/2023,08.169.003/0001-65 / 13.024.242/0001-67 (Faturamento),ELETRODOMESTICOS,12378,Julliene Serapião,3,SOLUTION(comercial Ynoffice),20/01/2024,Sim,Entregue,5.296,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00019,Boleto,915760,,,,,,Patrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,01/12/2023,01/12/2023,30.974.929/0001-82 ,MOVEIS,12367,Julliene Serapião,Contrato,Claumat,20/01/2024,Sim,Entregue,8.322,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,06099,Depósito,925795,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,01/12/2023,01/12/2023,30.974.929/0001-82 ,MOVEIS,12368,Julliene Serapião,Contrato,Petrovetti,20/01/2024,Sim,Entregue,11.246,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,15189,Boleto,956301,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,01/12/2023,01/12/2023,30.974.929/0001-82 ,MOVEIS,12369,Julliene Serapião,Contrato,Minas Brasil,20/01/2024,Sim,Entregue,54.480,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,05747,Boleto,915818,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,01/12/2023,04/12/2023,,PLAYGROUND,12382,Julliene Serapião,3,CriartPlay,22/01/2024,Sim,Entregue,8.740,Ativos,Obra de Ampliação,Escola - Unidade,30 DIAS,,01024,Boleto,955421,,,,,,Paula,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,04/12/2023,04/12/2023,30.974.929/0001-82 ,QUADRO,12384 / 12392,Julliene Serapião,Contrato,City Quadros(alumplex),25/01/2024,Sim,Entregue,2.746,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,02734,Boleto,944984,,,,,,Paula,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,01/12/2023,04/12/2023,30.974.929/0001-82 ,MATERIAL ESPORTIVO,12386,Julliene Serapião,3,JWE,15/01/2024,Sim,Entregue,1.958,Ativos,Mat. Esportivo,Escola - Unidade,28 DIAS,,08793,Boleto,947475,,,,,,Paula,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,04/12/2023,05/12/2023,30.974.929/0001-82 ,MESA FUTMESA,12388,Julliene Serapião,Contrato,OPS Sports,20/01/2024,Sim,Entregue,4.400,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00529,Depósito,967322,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,04/12/2023,05/12/2023,30.974.929/0001-82 ,MAT ELETRO,12387,Julliene Serapião,3,Bestinfo,20/01/2024,Sim,Entregue,5.781,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,05648,Boleto,929409,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,04/12/2023,05/12/2023,,MAT ELETRO,12391,Julliene Serapião,3,SOLUTION(comercial Ynoffice),20/01/2024,Sim,Entregue,6.821,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00018,Boleto,915753,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,05/12/2023,05/12/2023,30.974.929/0001-82 ,MURAL DE AVISO,12392,Julliene Serapião,Contrato,City Quadros(alumplex),20/01/2024,Sim,Entregue,1.176,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,05/12/2023,05/12/2023,30.974.929/0001-82 ,TAPETE PERSONALIZADO,12390,Julliene Serapião,3,Nova Era Esportes ,25/01/2024,Sim,Entregue,2.645,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,04718,Boleto,925364,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,05/12/2023,05/12/2023,,TAPETE PERSONALIZADO,12393,Julliene Serapião,3,Nova Era Esportes ,25/01/2024,Sim,Entregue,1.058,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,04719,Boleto,925370,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,01/12/2023,05/12/2023,09.414.059/0001-09,BANDEIRA ESCOLA,12394,Julliene Serapião,3,JWE,25/01/2024,Sim,Entregue,380,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,08915,Boleto,956492,,,,,,Patrícia,,,,,12,dezembro,2023,2,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jaú,05/12/2023,05/12/2023,30.974.929/0001-82 ,AMPLIFICADOR E CAFETEIRA,12400,Julliene Serapião,3,RTT,25/01/2024,Sim,Entregue,2.869,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
Emergencial,Pensi,Pensi Flamengo,05/12/2023,06/12/2023,22.613.895/0013-06,MDF ,12407,Julliene Serapião,3,Gilson Comercio,11/12/2023,Sim,Entregue,2.160,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,03596,Depósito,895350,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Chapecó,05/12/2023,06/12/2023,01.509.559/0001-04,PROJETOR GOLDENTEC 7000,12408,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139865,Depósito,934846,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Francisco Beltrão,05/12/2023,06/12/2023,14.011.425/0054-12,PROJETOR GOLDENTEC 7000,12409,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139866,Depósito,934829,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Guarapuava,05/12/2023,06/12/2023,14.011.425/0038-00,PROJETOR GOLDENTEC 7000,12410,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139867,Depósito,934821,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Jangada Jaraguá do Sul,05/12/2023,06/12/2023,14.011.425/0049-55,PROJETOR GOLDENTEC 7000,12411,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,4.318,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139868,Depósito,934812,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Joinville,05/12/2023,06/12/2023,14.011.425/0046-02,PROJETOR GOLDENTEC 7000,12412,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139869,Depósito,934803,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Júnior Cascavel,05/12/2023,06/12/2023,14.011.425/0024-05,PROJETOR GOLDENTEC 7000,12413,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,4.318,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139870,Depósito,934747,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Plazza Cascavel,05/12/2023,06/12/2023,14.011.425/0025-88,PROJETOR GOLDENTEC 7000,12414,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139871,Depósito,934743,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Toledo,05/12/2023,06/12/2023,14.011.425/0027-40,PROJETOR GOLDENTEC 7000,12415,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139872,Depósito,934684,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Campinas ,05/12/2023,06/12/2023,08.607.276/0001-44,PROJETOR GOLDENTEC 7000,12416,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139882,Depósito,934599,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Kobrasol ,05/12/2023,06/12/2023,07.622.613/0001-00,PROJETOR GOLDENTEC 7000,12417,Julliene Serapião,4,IByte,15/01/2024,Sim,Entregue,2.159,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,139883,Depósito,934526,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Sigma,Sigma 910 Norte,06/12/2023,06/12/2023,00.709.873/0003-30,Carteiras Escolares Metadil,12418,Fábio do Vale,1 (Exceção Compliance),Metadil ,25/01/2024,Sim,Entregue,154.054,Ativos,Carteiras Escolares,Escola - Unidade,28 DIAS,,52118,Depósito, 911534| 911564,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Sigma,Sigma 910 Norte,06/12/2023,06/12/2023,00.709.873/0003-30,Carteiras Escolares Metadil,12418,Fábio do Vale,1 (Exceção Compliance),Metadil ,25/01/2024,Sim,Entregue,140.774,Ativos,Carteiras Escolares,Escola - Unidade,28 DIAS,,52637,Depósito,953200,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Sigma,Sigma 910 Norte,06/12/2023,06/12/2023,00.709.873/0003-30,Carteiras Escolares Metadil,12418,Fábio do Vale,1 (Exceção Compliance),Metadil ,25/01/2024,Sim,Entregue,13.281,Ativos,Carteiras Escolares,Escola - Unidade,28 DIAS,,52638,Depósito,953211,,,,,,Patrícia,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Sigma,Sigma 910 Norte,06/12/2023,06/12/2023,00.709.873/0003-30,Carteiras Escolares Metadil,12418,Fábio do Vale,1 (Exceção Compliance),Metadil ,25/01/2024,Sim,Entregue,53.122,Ativos,Carteiras Escolares,Escola - Unidade,28 DIAS,,53857,Depósito,978684,,,,,,julliene,,,,,12,dezembro,2023,0,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Alfa,Alfa Júnior Francisco Beltrão,05/12/2023,06/12/2023,14.011.425/0042-89,BEBEDOURO LINHA DOMESTICA,12419,Julliene Serapião,3,Bestinfo,15/01/2024,Sim,Entregue,1.023,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,,,,,,,,,,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Internacional Belvedere,05/12/2023,06/12/2023,19.213.316/0020-52,BEBEDOURO LINHA DOMESTICA,12420,Julliene Serapião,3,Bestinfo,15/01/2024,Sim,Entregue,805,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,05623,Boleto,925409,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Internacional Belvedere,05/12/2023,06/12/2023,19.213.316/0020-52,,,,3,Bestinfo,15/01/2024,Não,Atrasado,222,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,05907,Boleto,959787,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Alípio de Melo,05/12/2023,06/12/2023,19.213.316/0011-61,,,,3,Bestinfo,15/01/2024,Não,Atrasado,180,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,05906,Boleto,959789,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Castelo,05/12/2023,06/12/2023,19.213.316/0002-70,BEBEDOURO LINHA DOMESTICA,12421,Julliene Serapião,3,SOLUTION(comercial Ynoffice),15/01/2024,Sim,Entregue,1.075,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,8561781,Boleto,944427,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Internacional Cidade Nova,05/12/2023,06/12/2023,19.213.316/0021-33,BEBEDOURO LINHA DOMESTICA,12422,Julliene Serapião,3,SOLUTION(comercial Ynoffice),15/01/2024,Sim,Entregue,955,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00036,Boleto,944472,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Mar Paulista,05/12/2023,06/12/2023,04.913.353/0001-33,BEBEDOURO LINHA DOMESTICA,12423,Julliene Serapião,3,SOLUTION(comercial Ynoffice),15/01/2024,Sim,Entregue,964,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,00034,Boleto,944462,,,,,,Patrícia,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
